abandonar,'f. Ámbito más allá de la muerte'
yaguar,'tr. Establecer distancia o aumentarla entre algo o alguien y una persona animal lugar o cosa que se toman como punto de referencia U. t. c. prnl.'
yak,'adj. Perteneciente o relativo a la familia'
yang,'f. Concepto imagen o representación sin verdadera realidad sugeridos por la imaginación o causados por engaño de los sentidos'
yapa,'m. Quím. Polvo amarillento derivado yodado del metano de olor muy fuerte que se usa en medicina como antiséptico'
yarará,'adj. Muy temible y que infunde asombro y miedo'
yarda,'tr. Prohibir por ley estatuto o mandato'
yarey,"'f. Planta anual de la familia de las gramíneas cuyas cañas crecen hasta más de m, con hojas estrechas de cm de largo y flores en espigas terminales comprimidas con aristas agudas Se cría espontáneamente en los sembrados y la harina de su semilla es venenosa'"
yatagán,'m. Agua congelada que desciende con violencia de las nubes en granos más o menos duros y gruesos pero no en copos como la nieve'
yate,'m. glamur.'
yegua,'tr. Mover hacia arriba algo U. t. c. prnl.'
yeguada,'m. Sucesión continuada de olas'
yelmo,'tr. Dirigir la vista a un objeto U. t. c. intr. y c. prnl.'
yema,'adj. Perteneciente o relativo al pirata o a la piratería'
yemení,'f. Elocuencia elevada o pomposa'
yen,'adj. Que siente entusiasmo por alguien o algo U. t. c. s.'
yerba,'tr. Dirigir o estar a la cabeza de un grupo de un partido político de una competición etc.'
yerbal,'f. Paso estrecho entre montañas'
yermar,'tr. Dar vuelta o vueltas a algo'
yerno,'f. Orden sucesivo o alternativo de algo'
yero,'tr. Hacer presente algo con palabras o figuras que la imaginación retiene U. t. c. prnl.'
yerro,'adj. Quebradizo y que con facilidad se hace pedazos'
yesar,'m. Diversión consistente en interpretar una canción sobre un fondo musical grabado mientras se sigue la letra que aparece en una pantalla'
yesca,'tr. Refrenar reprimir o moderar una pasión de ánimo o a quien la tiene U. m. c. prnl.'
yesería,'m. Culpa quebrantamiento de la ley'
yeso,'intr. rebotar retroceder o cambiar de dirección'
yeti,"'tr. Aumentar el número o la cantidad de cosas de la misma especie U. t. c. intr. y c. prnl., especialmente hablando de lo que se multiplica por generación U. t. en sent. fig.'"
yeyuno,'tr. Arrojar violentamente por la boca lo contenido en el estómago U. t. c. intr.'
yeyé,'tr. alistar inscribir en lista'
yeísmo,'adj. Que se refiere o se circunscribe solamente a una parte o a un aspecto de algo'
yeísta,'m. Inform. Unidad equivalente a 10  Símb.'
yihad,"'m. Lado izquierdo de una embarcación mirando de popa a proa y por ext., de un avión u otra aeronave'"
yihadista,'m. Fís. Unidad de energía liberada por un explosivo equivalente a la energía de la explosión de toneladas de trinitrotolueno Símb.'
yin,'m. Abundancia en el adorno o en comodidades y objetos suntuosos'
yo,'m. Efusión de lágrimas acompañada frecuentemente de lamentos y sollozos'
yodo,'f. Sustancia viscosa amarillenta y muy dulce que producen las abejas transformando en su estómago el néctar de las flores y devolviéndolo por la boca para llenar con él los panales y que sirva de alimento a las crías'
yodoformo,'intr. Moverse de un lugar hacia otro apartado de la persona que habla U. t. c. prnl.'
yoduro,'f. Cualidad de lento'
yoga,'tr. Hacer menor la extensión la intensidad o el número de algo U. t. c. intr. y c. prnl.'
yogui,'tr. Causar parálisis U. t. c. prnl.'
yogur,'f. Grado de fuerza con que se manifiesta un agente natural una magnitud física una cualidad una expresión etc.'
yogurtera,'tr. Arreglar algo que está roto o estropeado'
yola,'m. Conjunto de fuerzas aéreas o terrestres de una nación'
yonqui,'tr. Alterar y trastrocar la forma de algo U. t. c. prnl.'
yoyo,'adj. Perteneciente o relativo al diámetro'
yuan,'tr. Distribuir algo dividiéndolo en partes'
yuca,'tr. Impeler con violencia algo de modo que recorra una distancia movido por el impulso que ha recibido'
yudo,'m. Acción y efecto de mover'
yudoca,'tr. Prestar cooperación'
yugada,'f. Planta herbácea de la familia de las compuestas de a cm de altura con hojas casi abrazadoras oblongas festoneadas hendidas en la base y flores terminales de centro amarillo y corola blanca que es muy común en los sembrados'
yugo,'f. Canto popular dominicano'
yuguero,'f. Cualidad de obeso'
yunque,'tr. Vivir morar U. t. c. intr.'
yuntero,'m. Cuarto día de la semana'
yupi,"'f. Arg., Bol., Chile, Par.  ratón mamífero roedor'"
yute,'adj. Que no puede ser visto'
yuxtaponer,"'m. Cuba, El Salv., Méx.  yoyó.'"
yuyal,'adj. Astuto y prudente que prevé y previene las cosas'
yuyo,'f. Lecho o cama pobre'
yóquey,'f. Instrumento comúnmente metálico que introducido en una cerradura permite activar el mecanismo que la abre y la cierra'
zafar,'tr. Preparar los hilos en la urdidera para pasarlos al telar'
zafiro,'intr. Consentir en lo que alguien solicita o quiere'
zaguán,'tr. Transformar un líquido en partículas finísimas que forman una especie de nubecilla'
zamba,'m. Acción de recrearse divertirse'
zambullir,'tr. Pagar enteramente lo que se debe'
zanahoria,'tr. Juntar unir incorporar algo con otra cosa confundiéndolos U. t. c. prnl.'
zancada,'f. Preocupación caprichosa y a veces extravagante por un tema o cosa determinados'
zanjar,'tr. Enfadar disgustar o ser molesto a alguien'
zapatería,'f. Cada una de las dos piezas de lienzo algodón u otro tejido de tamaño suficiente para cubrir la cama y colocar el cuerpo entre ambas'
zapatilla,'tr. añadir agregar U. t. c. prnl.'
zapato,'tr. Acondicionar una porción de terreno y prepararlo para su uso urbano abriendo calles y dotándolas de luz pavimento y demás servicios'
zigzag,"'f. Arg., Bol., Chile, Par.  Instalación industrial importante en especial la destinada a producción de gas energía eléctrica agua potable etc.'"
zinc,'f. Asiento con respaldo por lo general con cuatro patas y en que solo cabe una persona'
zona,'m. Acción de sortear'
zorzal,'f. Enterramiento sepulcro'
zumo,'adj. Perteneciente o relativo al juicio a la administración de justicia o a la judicatura'
zurcir,'adj. Dicho de un animal Fiero agresivo'
árbol,'tr. Herir gravemente'
ímpetu,'tr. Proponer o aconsejar algo'
ñandú,'tr. Tener amor a alguien o algo'
ñu,'intr. p. us. Salir de un encierro de una enfermedad o de un peligro'
ómnibus,'m. Acción de ejercitar o ejercitarse'
ópera,'m. Cada uno de los cinco apéndices articulados en que terminan la mano y el pie del hombre y en el mismo o menor número de muchos animales'
órbita,'m. y f. Asceta hindú seguidor del sistema filosófico del yoga'
órgano,'adj. Que varía o puede variar'
úlcera,'f. camino tierra por donde se transita'
útero,'f. Acción y efecto de helar producirse hielo'
